timestamp,device_id,device_type,system_uptime,cpu_usage,memory_usage,inbound_traffic,outbound_traffic,input_errors,output_errors
2025-03-23 22:59:05.621134,SW1,switch,21611,32.0280820398856,48.54161008084669,264210,194953,0,0
2025-03-23 22:59:35.621134,SW1,switch,21641,27.843098645687327,50.083040999893555,209855,165523,0,0
2025-03-23 23:00:05.621134,SW1,switch,21671,32.72660857647644,49.13444075218909,72364,211483,0,0
2025-03-23 23:00:35.621134,SW1,switch,21701,34.14130597355711,46.724884840608226,210930,198474,1,0
2025-03-23 23:01:05.621134,SW1,switch,21731,31.59958873830141,52.334536135199095,183147,175836,0,0
2025-03-23 23:01:35.621134,SW1,switch,21761,33.62725323328923,61.7304742657865,263376,175981,0,0
2025-03-23 23:02:05.621134,SW1,switch,21791,34.19933477435945,40.549100118690696,308787,223269,0,0
2025-03-23 23:02:35.621134,SW1,switch,21821,20.517049545870954,60.17221678052374,225017,248978,0,0
2025-03-23 23:03:05.621134,SW1,switch,21851,,,218817,150612,0,0
2025-03-23 23:03:35.621134,SW1,switch,21881,29.65325248112726,56.10906216676059,116504,236409,0,0
2025-03-23 23:04:05.621134,SW1,switch,21911,31.29877312804538,53.29767203188745,179265,220014,0,0
2025-03-23 23:04:35.621134,SW1,switch,21941,35.589400709009304,51.71318137398032,239468,174176,0,0
2025-03-23 23:05:05.621134,SW1,switch,21971,31.916374803286754,61.79589638420042,256908,205638,0,0
2025-03-23 23:05:35.621134,SW1,switch,22001,29.976263481969774,56.955955269919286,191850,158181,0,0
2025-03-23 23:06:05.621134,SW1,switch,22031,33.83123337012992,48.02688357421775,212387,180774,0,2
2025-03-23 23:06:35.621134,SW1,switch,22061,27.326177692143126,51.960423235560306,237407,129848,0,0
2025-03-23 23:07:05.621134,SW1,switch,22091,,59.72541463925213,,229722,0,0
2025-03-23 23:07:35.621134,SW1,switch,22121,26.657864588425554,46.885866463889656,238677,191395,0,0
2025-03-23 23:08:05.621134,SW1,switch,22151,23.085982677327635,41.79283019537401,150718,147625,0,0
2025-03-23 23:08:35.621134,SW1,switch,22181,24.118657842697857,50.52471624233454,258413,192332,0,0
2025-03-23 23:09:05.621134,SW1,switch,22211,36.91002603639742,39.87916573472885,248207,234744,0,0
2025-03-23 23:09:35.621134,SW1,switch,22241,27.183452584516196,41.355701150499286,203826,169614,0,0
2025-03-23 23:10:05.621134,SW1,switch,22271,25.72539960981693,49.55162920583783,179971,261908,0,0
2025-03-23 23:10:35.621134,SW1,switch,22301,30.63199364488846,53.70907895783568,201778,86378,0,0
2025-03-23 23:11:05.621134,SW1,switch,22331,27.985035290593213,,250575,223191,0,0
2025-03-23 23:11:35.621134,SW1,switch,22361,32.083716988795246,61.317884478316564,205025,181575,0,2
2025-03-23 23:12:05.621134,SW1,switch,22391,26.569999499625347,56.490852689510135,176768,301742,0,0
2025-03-23 23:12:35.621134,SW1,switch,22421,34.25076607682345,48.95191078717303,206576,233626,0,0
2025-03-23 23:13:05.621134,SW1,switch,22451,30.054900025115707,58.45144760601306,222330,151497,1,0
2025-03-23 23:13:35.621134,SW1,switch,22481,29.487145495269985,59.71463761421008,215456,272549,0,0
2025-03-23 23:14:05.621134,SW1,switch,22511,33.59263785005591,44.92901513218772,232073,203037,0,2
2025-03-23 23:14:35.621134,SW1,switch,22541,24.596288383081276,52.110582063092664,144844,177861,0,0
2025-03-23 23:15:05.621134,SW1,switch,22571,27.94778509472297,49.46421685995547,205496,160101,0,0
2025-03-23 23:15:35.621134,SW1,switch,22601,24.71283813579173,59.466289129163904,196745,197426,0,0
2025-03-23 23:16:05.621134,SW1,switch,22631,40.69382899923472,54.064567280327125,158695,156934,0,0
2025-03-23 23:16:35.621134,SW1,switch,22661,28.974092756618465,56.3964408640465,162493,239890,0,0
2025-03-23 23:17:05.621134,SW1,switch,22691,24.290359342366866,35.50366593555208,320555,218716,0,0
2025-03-23 23:17:35.621134,SW1,switch,22721,39.238481285708595,45.93951531473232,169790,168967,0,0
2025-03-23 23:18:05.621134,SW1,switch,22751,29.559475011481762,50.76575386062014,209023,227201,0,0
2025-03-23 23:18:35.621134,SW1,switch,22781,36.01686414494067,39.73082255919272,154901,247470,0,0
2025-03-23 23:19:05.621134,SW1,switch,22811,29.19062121698042,53.96428971190276,117661,238242,0,0
2025-03-23 23:19:35.621134,SW1,switch,22841,25.508285851917304,85,283241,218448,0,0
2025-03-23 23:20:05.621134,SW1,switch,22871,31.425847123813366,52.81529899330127,197920,121081,0,0
2025-03-23 23:20:35.621134,SW1,switch,22901,36.209964804154026,34.751152589238785,211712,107061,1,0
2025-03-23 23:21:05.621134,SW1,switch,22931,18.854453700224788,43.759793869634265,176413,144674,2,0
2025-03-23 23:21:35.621134,SW1,switch,22961,25.301109914364197,47.344365991800245,229357,199889,0,0
2025-03-23 23:22:05.621134,SW1,switch,22991,39.37581971233898,49.26502058929722,200527,142031,0,0
2025-03-23 23:22:35.621134,SW1,switch,23021,16.51440517206005,64.29489500934687,148259,158347,0,0
2025-03-23 23:23:05.621134,SW1,switch,23051,24.150978728525793,39.67998311999929,222452,222390,1,0
2025-03-23 23:23:35.621134,SW1,switch,23081,36.77686303202342,49.14301947066795,211284,257283,0,0
2025-03-23 23:24:05.621134,SW1,switch,23111,36.075498794113855,54.04841833513509,191019,228982,0,0
2025-03-23 23:24:35.621134,SW1,switch,23141,28.54427170799661,53.374734234052696,204007,291453,0,0
2025-03-23 23:25:05.621134,SW1,switch,23171,21.827779302262954,53.54284088128839,149815,312052,0,0
2025-03-23 23:25:35.621134,SW1,switch,23201,25.195019144156426,50.238048948155864,140789,199099,0,0
2025-03-23 23:26:05.621134,SW1,switch,23231,33.10163318066013,46.46810514092643,206003,144145,0,0
2025-03-23 23:26:35.621134,SW1,switch,23261,26.809430984766202,48.308967252988026,177132,262491,0,0
